,uid,uid,pv,uid
www/baoan_fanshenlu/,6.0,5.0,1.0,1.0
www/baoan_fuyong/,13.0,13.0,10.0,10.0
www/baoan_fuyong/subway/,1.0,1.0,,
www/baoan_fuyong/subwayacul/,1.0,1.0,,
www/baoan_fuyongsq/,13.0,11.0,34.0,32.0
www/baoan_fuyongsq/ab/,,,1.0,1.0
www/baoan_fuyongsq/abd/,,,1.0,1.0
www/baoan_fuyongsq/ai/,,,1.0,1.0
www/baoan_fuyongsq/au/,,,1.0,1.0
www/baoan_fuyongsq/b/,,,6.0,6.0
www/baoan_fuyongsq/bd/,,,1.0,1.0
www/baoan_fuyongsq/d/,,,1.0,1.0
www/baoan_fuyongsq/fg/,,,1.0,1.0
www/baoan_fuyongsq/subway/,,,1.0,1.0
www/baoan_gongming/,17.0,16.0,18.0,18.0
www/baoan_guanlan/,64.0,63.0,12.0,12.0
www/baoan_longhuasq/,57.0,57.0,53.0,52.0
www/baoan_longhuasq/ab/,,,1.0,1.0
www/baoan_longhuasq/abzx/,,,1.0,1.0
www/baoan_longhuasq/ad/,,,1.0,1.0
www/baoan_longhuasq/au/,,,4.0,4.0
www/baoan_longhuasq/b/,,,3.0,3.0
www/baoan_longhuasq/bzx/,,,1.0,1.0
www/baoan_longhuasq/d/,,,2.0,2.0
www/baoan_longhuasq/subway/,,,1.0,1.0
www/baoan_longhuasq/subway_a/,,,1.0,1.0
www/baoan_longhuasq/subway_b/,,,2.0,2.0
www/baoan_longhuasq/subwaya/,,,1.0,1.0
www/baoan_longhuasq/subwayb/,,,1.0,1.0
www/baoan_longhuasq/subwaybzx/,,,1.0,1.0
www/baoan_shajing/,21.0,21.0,16.0,16.0
www/baoan_shajing/a/,,,1.0,1.0
www/baoan_shajing/b/,,,1.0,1.0
www/baoan_shajingsq/,38.0,35.0,40.0,37.0
www/baoan_shajingsq/a/,,,3.0,3.0
www/baoan_shajingsq/abd/,,,1.0,1.0
www/baoan_shajingsq/b/,,,4.0,4.0
www/baoan_shajingsq/l/,,,1.0,1.0
www/baoan_shajingsq/p/,,,1.0,1.0
www/baoan_shajingsq/subway/,,,1.0,1.0
www/baoan_shajingsq/subwayb/,,,1.0,1.0
www/baoan_shajingsq/zx/,,,2.0,2.0
www/baoan_shajingsq/zxfg/,,,1.0,1.0
www/baoan_shiyan/,17.0,16.0,18.0,16.0
www/baoan_shiyan/b/,,,1.0,1.0
www/baoan_songgang/,16.0,16.0,15.0,15.0
www/baoan_wankecheng/subway/,,,1.0,1.0
www/baoan_xinan/,40.0,38.0,17.0,17.0
www/baoan_xinan/o/,,,2.0,2.0
www/baoan_xinansq/,8.0,7.0,11.0,11.0
www/baoan_xinansq/a/,,,1.0,1.0
www/baoan_xinansq/ab/,,,1.0,1.0
www/baoan_xinansq/ab/o/,,,1.0,1.0
www/baoan_xinansq/b/,,,2.0,2.0
www/baoan_xinansq/bd/,,,1.0,1.0
www/baoan_xinansq/d/,,,2.0,2.0
www/baoan_xinansq/o/,,,5.0,5.0
www/baoan_xinansq/subway/o/,,,1.0,1.0
www/baoan_xinzhongxinqu/,14.0,13.0,,
www/baoan_xixiang/,86.0,85.0,56.0,55.0
www/baoan_xixiang/a/,1.0,1.0,,
www/baoan_xixiang/au/,,,1.0,1.0
www/baoan_xixiang/b/,,,1.0,1.0
www/baoan_xixiang/d/,,,2.0,2.0
www/baoan_xixiang/l/,1.0,1.0,,
www/baoan_xixiang/l/o/,,,1.0,1.0
www/baoan_xixiang/o/,,,4.0,4.0
www/baoan_xixiang/subway_/,,,1.0,1.0
www/baoan_xixiangsq/,17.0,17.0,37.0,35.0
www/baoan_xixiangsq/a/,,,2.0,2.0
www/baoan_xixiangsq/ab/,,,1.0,1.0
www/baoan_xixiangsq/ab/o/,,,1.0,1.0
www/baoan_xixiangsq/ad/,,,1.0,1.0
www/baoan_xixiangsq/afg/,,,1.0,1.0
www/baoan_xixiangsq/au/,,,3.0,3.0
www/baoan_xixiangsq/b/,,,3.0,3.0
www/baoan_xixiangsq/b/o/,,,4.0,4.0
www/baoan_xixiangsq/bd/,,,7.0,7.0
www/baoan_xixiangsq/bzx/,,,1.0,1.0
www/baoan_xixiangsq/d/,,,2.0,2.0
www/baoan_xixiangsq/fgmn/o/,,,1.0,1.0
www/baoan_xixiangsq/i/,,,1.0,1.0
www/baoan_xixiangsq/o/,,,20.0,20.0
www/baoan_xixiangsq/subway/,,,1.0,1.0
www/baoan_xixiangsq/subway_/,,,1.0,1.0
www/baoan_xixiangsq/subway_/o/,,,1.0,1.0
www/baoan_xixiangsq/subwayb/o/,,,1.0,1.0
www/baoan_xixiangsq/t/,,,1.0,1.0
www/baoan_xixiangsq/zx/,,,1.0,1.0
www/baodi_bamencheng/,1.0,1.0,,
www/baodi_dabaizhuang/,,,1.0,1.0
www/baodi_dakoutun/,,,1.0,1.0
www/baodi_fangjiazhuang/,1.0,1.0,1.0,1.0
www/baodi_gaojiazhuang/,,,1.0,1.0
www/baodi_haogezhuang/,,,1.0,1.0
www/baodi_zhouliangzhuang/,,,1.0,1.0
www/baoshan/,22.0,22.0,70.0,67.0
www/baoshan/a/,,,5.0,5.0
www/baoshan/a/o/,,,1.0,1.0
www/baoshan/ab/,,,5.0,5.0
www/baoshan/ab/o/,,,2.0,2.0
www/baoshan/abd/,,,2.0,2.0
www/baoshan/abd/o/,,,2.0,1.0
www/baoshan/ad/o/,,,1.0,1.0
www/baoshan/au/,1.0,1.0,2.0,2.0
www/baoshan/aut/,,,1.0,1.0
www/baoshan/b/,,,4.0,4.0
www/baoshan/bd/,,,3.0,3.0
www/baoshan/bd/o/,,,1.0,1.0
www/baoshan/bl/,,,1.0,1.0
www/baoshan/buzxl/,,,1.0,1.0
www/baoshan/d/,,,4.0,4.0
www/baoshan/d/o/,,,2.0,2.0
www/baoshan/l/,,,2.0,2.0
www/baoshan/l/o/,,,5.0,5.0
www/baoshan/o/,2.0,1.0,19.0,19.0
www/baoshan/pfg/,,,1.0,1.0
www/baoshan/subway/,,,9.0,9.0
www/baoshan/subway/o/,,,2.0,2.0
www/baoshan/subway_/,,,7.0,7.0
www/baoshan/subway_a/,,,1.0,1.0
www/baoshan/subway_abd/,,,1.0,1.0
www/baoshan/subway_at/,,,1.0,1.0
www/baoshan/subway_au/,,,1.0,1.0
www/baoshan/subway_b/,,,1.0,1.0
www/baoshan/subway_bd/,,,1.0,1.0
www/baoshan/subway_bli/,,,1.0,1.0
www/baoshan/subway_d/,,,1.0,1.0
www/baoshan/subwaya/,,,1.0,1.0
www/baoshan/subwayau/,,,1.0,1.0
www/baoshan/subwayb/,,,3.0,3.0
www/baoshan/subwaybzx/,,,1.0,1.0
www/baoshan/subwaycu/,,,1.0,1.0
www/baoshan/subwayd/,,,1.0,1.0
www/baoshan/ti/,,,1.0,1.0
www/baoshan_baoshanqita/,3.0,3.0,1.0,1.0
www/baoshan_baoshanqita/subway/,1.0,1.0,,
www/baoshan_baoshanqitasq/,,,4.0,4.0
www/baoshan_baoshanqitasq/subway/,,,1.0,1.0
www/baoshan_baoshanqitasq/subway_d/,,,1.0,1.0
www/baoshan_baoshanqitasq/subwayab/,,,1.0,1.0
www/baoshan_baoshanqitasq/subwaybd/,,,1.0,1.0
www/baoshan_dachang/,8.0,8.0,10.0,10.0
www/baoshan_dachang/azx/,,,1.0,1.0
www/baoshan_dachang/b/,,,1.0,1.0
www/baoshan_dachang/bdzx/,,,1.0,1.0
www/baoshan_dachang/subway/,,,1.0,1.0
www/baoshan_dahua/,18.0,18.0,4.0,4.0
www/baoshan_dahuasq/,1.0,1.0,3.0,3.0
www/baoshan_dahuasq/a/,,,3.0,3.0
www/baoshan_dahuasq/abt/,,,1.0,1.0
www/baoshan_dahuasq/au/,,,1.0,1.0
www/baoshan_dahuasq/b/,,,1.0,1.0
www/baoshan_dahuasq/subway_/,,,1.0,1.0
www/baoshan_dahuasq/subwaya/,,,1.0,1.0
www/baoshan_dongchengqu/,2.0,2.0,,
www/baoshan_gaojing/,3.0,3.0,1.0,1.0
www/baoshan_gongfu/,2.0,2.0,,
www/baoshan_gongfusq/,15.0,15.0,19.0,19.0
www/baoshan_gongfusq/au/,,,1.0,1.0
www/baoshan_gongfusq/btzx/,,,1.0,1.0
www/baoshan_gongfusq/l/,,,1.0,1.0
www/baoshan_gongkang/,4.0,4.0,9.0,9.0
www/baoshan_gongkang/subway_abd/,,,1.0,1.0
www/baoshan_gongkangsq/,4.0,4.0,4.0,4.0
www/baoshan_gongkangsq/bd/,,,2.0,2.0
www/baoshan_gucun/,12.0,12.0,6.0,6.0
www/baoshan_gucun/dzx/,,,1.0,1.0
www/baoshan_gucunsq/,2.0,2.0,8.0,8.0
www/baoshan_gucunsq/bzx/,,,1.0,1.0
www/baoshan_gucunsq/subway_/,,,1.0,1.0
www/baoshan_gucunsq/subwaya/,,,1.0,1.0
www/baoshan_jinqiuhuayuan/,,,1.0,1.0
www/baoshan_liuxing/,,,2.0,2.0
www/baoshan_luodian/,3.0,3.0,2.0,2.0
www/baoshan_luojing/,,,2.0,2.0
www/baoshan_luonan/,1.0,1.0,1.0,1.0
www/baoshan_miaohang/,,,2.0,2.0
www/baoshan_shangda/,2.0,2.0,2.0,2.0
www/baoshan_shuichanlu/,3.0,3.0,2.0,2.0
www/baoshan_songbao/,1.0,1.0,1.0,1.0
www/baoshan_songnan/,39.0,39.0,15.0,15.0
www/baoshan_songnan/subway/,,,1.0,1.0
www/baoshan_songnangaojingsq/,,,3.0,3.0
www/baoshan_songnangaojingsq/subwayb/,,,1.0,1.0
www/baoshan_tonghexichengqu/,,,2.0,2.0
www/baoshan_wusong/,11.0,11.0,10.0,9.0
www/baoshan_yanghang/,5.0,5.0,2.0,2.0
www/baoshan_yanghang/a/,,,1.0,1.0
www/baoshan_youyilu/,,,2.0,2.0
www/baoshan_yuepu/,5.0,5.0,,
www/baoshan_zhangmiao/,12.0,12.0,7.0,7.0
www/baqiao_banpolu/,,,1.0,1.0
www/baqiao_chanbadadao/,,,1.0,1.0
www/baqiao_fangzhicheng/,,,1.0,1.0
www/baqiao_fangzhichengzhengjie/,,,1.0,1.0
www/baqiao_hongqi/,,,1.0,1.0
www/baqiao_miqinbeilu/,,,1.0,1.0
www/baqiao_qinshuilu/,,,1.0,1.0
www/baqiao_xiwang/,,,2.0,2.0
www/beichen_beicang/,1.0,1.0,1.0,1.0
www/beichen_beichenzhoubian/,1.0,1.0,,
www/beichen_hongguangnongchang/,1.0,1.0,,
www/beichen_qingguang/,,,1.0,1.0
www/beichen_shuangjie/,,,1.0,1.0
www/beichen_yixingbu/,,,1.0,1.0
www/beijingzhoubian_guan/,1.0,1.0,3.0,3.0
www/beijingzhoubian_sanhe/,5.0,5.0,,
www/beijingzhoubian_sanhe/subwayabuzxl/,1.0,1.0,,
www/beijingzhoubian_xianghe/,,,5.0,5.0
www/beijingzhoubian_zhuozhou/,1.0,1.0,2.0,2.0
www/beijingzhoubian_zhuozhou/a/,,,1.0,1.0
www/beilin_andongjie/,,,2.0,2.0
www/beilin_anxijie/,,,1.0,1.0
www/beilin_baishulin/,1.0,1.0,,
www/beilin_beishapojie/,,,1.0,1.0
www/beilin_biandongjie/,,,1.0,1.0
www/beilin_changanbeilu/,,,1.0,1.0
www/beilin_changshengjie/,,,1.0,1.0
www/beilin_dongguannanjie/,1.0,1.0,1.0,1.0
www/beilin_dongguanzhengjie/,,,1.0,1.0
www/beilin_dongmenwai/,,,2.0,2.0
www/beilin_dongmutoushi/,,,1.0,1.0
www/beilin_erhuannanlu/,,,1.0,1.0
www/beilin_erhuannanluxiduan/,1.0,1.0,1.0,1.0
www/beilin_hanguanglubeiduan/,,,1.0,1.0
www/beilin_hejiacun/,,,1.0,1.0
www/beilin_huanchengnanlu/,,,1.0,1.0
www/beilin_huanchengnanluxiduan/,,,1.0,1.0
www/beilin_jianshelu/,1.0,1.0,,
www/beilin_nandajie/,,,1.0,1.0
www/beilin_nanguanzhengjie/,,,1.0,1.0
www/beilin_nanyuanmen/,,,1.0,1.0
www/beilin_shiyuanlu/,1.0,1.0,2.0,2.0
www/beilin_shiyuanlu/d/,1.0,1.0,,
www/beilin_taiyilu/,,,1.0,1.0
www/beilin_wenyibeijie/,,,1.0,1.0
www/beilin_wenyilu/,,,1.0,1.0
www/beilin_wenyinanlu/,1.0,1.0,,
www/beilin_wudaoshizidongjie/,,,1.0,1.0
www/beilin_wudaoshizidongjie/subway/,,,1.0,1.0
www/beilin_ximutoushi/,,,2.0,2.0
www/beilin_xingqinglu/,,,3.0,3.0
www/beilin_yantabeilu/,2.0,2.0,,
www/beilin_youyixilu/,,,1.0,1.0
www/beilin_zhangjiacun/,,,1.0,1.0
www/beilin_zhanglefang/,,,1.0,1.0
www/beilin_zhuquedajie/,,,1.0,1.0
www/binhaixinqu/,,,10.0,10.0
www/binhaixinqu/ab/,,,1.0,1.0
www/binhaixinqu/bl/,,,1.0,1.0
www/binhaixinqu_beitang/,,,3.0,3.0
www/binhaixinqu_chadian/,,,1.0,1.0
www/binhaixinqu_haibin/,,,1.0,1.0
www/binhaixinqu_hangzhoudao/,,,2.0,2.0
www/binhaixinqu_taida/,1.0,1.0,,
www/binhaixinqu_tanggu/,,,1.0,1.0
www/binhaixinqu_tanggusq/,,,3.0,3.0
www/binhaixinqu_xianluowanshangwuqusq/,,,1.0,1.0
www/binhaixinqu_xiaowangzhuang/,,,1.0,1.0
www/binhaixinqu_xinhe/,,,2.0,2.0
www/binhaixinqu_yujiabaozimaoqusq/,2.0,2.0,,
www/binhaixinqu_yujiabaozimaoqusq/zx/,,,1.0,1.0
www/binhaixinqu_zhaishang/,,,2.0,2.0
www/binhaixinqu_zhaongtang/,,,1.0,1.0
www/binjiang/,70.0,70.0,142.0,129.0
www/binjiang/a/,,,6.0,6.0
www/binjiang/ab/,,,6.0,6.0
www/binjiang/azx/,,,2.0,2.0
www/binjiang/b/,,,6.0,6.0
www/binjiang/b/o/,,,4.0,3.0
www/binjiang/bd/,,,4.0,4.0
www/binjiang/bd/o/,,,1.0,1.0
www/binjiang/bdzx/,,,1.0,1.0
www/binjiang/bzx/,,,2.0,2.0
www/binjiang/d/,1.0,1.0,2.0,2.0
www/binjiang/d/o/,,,1.0,1.0
www/binjiang/fg/,2.0,2.0,2.0,2.0
www/binjiang/fgmn/,,,1.0,1.0
www/binjiang/i/,,,2.0,2.0
www/binjiang/l/,,,1.0,1.0
www/binjiang/l/o/,,,1.0,1.0
www/binjiang/lmn/o/,,,1.0,1.0
www/binjiang/o/,,,30.0,29.0
www/binjiang/subway/,,,1.0,1.0
www/binjiang/subway/o/,,,1.0,1.0
www/binjiang/subway_b/,,,1.0,1.0
www/binjiang/subwaya/,,,1.0,1.0
www/binjiang/subwayabdzx/,,,1.0,1.0
www/binjiang/t/o/,,,1.0,1.0
www/binjiang/zx/,,,2.0,2.0
www/binjiang_changhe/,,,1.0,1.0
www/binjiang_changhesq/,17.0,17.0,16.0,16.0
www/binjiang_changhesq/ab/,,,1.0,1.0
www/binjiang_changhesq/b/,,,1.0,1.0
www/binjiang_changhesq/dt/,,,1.0,1.0
www/binjiang_changhesq/zx/,,,3.0,3.0
www/binjiang_jianghuilu/,1.0,1.0,1.0,1.0
www/binjiang_jianglinglu/,,,1.0,1.0
www/binjiang_jiangnandadao/,,,2.0,2.0
www/binjiang_puyan/,,,1.0,1.0
www/binjiang_puyansq/,,,3.0,3.0
www/binjiang_puyansq/bzx/,,,1.0,1.0
www/binjiang_puyansq/dfg/,,,1.0,1.0
www/binjiang_quzhengfusq/,23.0,23.0,17.0,17.0
www/binjiang_quzhengfusq/a/,,,2.0,2.0
www/binjiang_quzhengfusq/b/,,,2.0,2.0
www/binjiang_quzhengfusq/d/,,,1.0,1.0
www/binjiang_quzhengfusq/o/,,,1.0,1.0
www/binjiang_quzhengfusq/subwayb/,,,1.0,1.0
www/binjiang_quzhengfusq/subwaybd/,,,1.0,1.0
www/binjiang_siqiaosq/,,,1.0,1.0
www/binjiang_siqiaosq/subwaybdzx/,,,1.0,1.0
www/binjiang_xixing/,1.0,1.0,4.0,4.0
www/binjiang_xixingsq/,,,1.0,1.0
www/binjiang_xixingsq/bzx/,,,1.0,1.0
www/caidian/,,,1.0,1.0
www/caidian_caidiancaidian/bzx/,,,1.0,1.0
www/caidian_caidianqusq/,,,1.0,1.0
www/caidian_daji/,,,1.0,1.0
www/caidian_gongnonglu/,,,1.0,1.0
www/caidian_linzhangdadao/,,,1.0,1.0
www/caidian_yongan/,,,1.0,1.0
www/changan_doumen/,,,1.0,1.0
www/changan_mawang/,1.0,1.0,,
www/changan_wangsi/,,,1.0,1.0
www/changan_weiquxijie/,,,3.0,3.0
www/changan_xichanganjie/,1.0,1.0,1.0,1.0
www/changan_ziwu/,,,1.0,1.0
www/changning/,56.0,56.0,335.0,328.0
www/changning/a/,1.0,1.0,17.0,16.0
www/changning/a/o/,,,1.0,1.0
www/changning/ab/,1.0,1.0,,
www/changning/abd/,,,3.0,3.0
www/changning/abdi/,,,1.0,1.0
www/changning/abt/,,,1.0,1.0
www/changning/afg/,,,1.0,1.0
www/changning/amn/,,,1.0,1.0
www/changning/amni/,,,1.0,1.0
www/changning/au/,,,6.0,6.0
www/changning/b/,1.0,1.0,9.0,9.0
www/changning/b/o/,,,8.0,7.0
www/changning/bd/,,,7.0,7.0
www/changning/bd/o/,,,1.0,1.0
www/changning/bdi/,,,1.0,1.0
www/changning/bmn/,,,1.0,1.0
www/changning/bt/,,,1.0,1.0
www/changning/bt/o/,,,1.0,1.0
www/changning/but/,,,1.0,1.0
www/changning/bzx/,,,1.0,1.0
www/changning/d/,,,3.0,3.0
www/changning/d/o/,,,2.0,2.0
www/changning/dfg/,,,1.0,1.0
www/changning/fg/,,,4.0,4.0
www/changning/fg/o/,,,3.0,3.0
www/changning/fgmn/,,,1.0,1.0
www/changning/fgmn/o/,,,1.0,1.0
www/changning/i/,,,1.0,1.0
www/changning/o/,1.0,1.0,20.0,19.0
www/changning/subway/,,,7.0,7.0
www/changning/subway/o/,,,1.0,1.0
www/changning/subway_/,,,3.0,3.0
www/changning/subway_/o/,,,2.0,2.0
www/changning/subway_ab/,,,1.0,1.0
www/changning/subway_abd/,,,1.0,1.0
www/changning/subway_abdzx/,,,1.0,1.0
www/changning/subway_acuzx/,1.0,1.0,,
www/changning/subway_au/,,,1.0,1.0
www/changning/subway_b/,,,1.0,1.0
www/changning/subway_b/o/,,,1.0,1.0
www/changning/subway_bdi--/,,,1.0,1.0
www/changning/subway_p/,,,1.0,1.0
www/changning/subwayabd/,,,1.0,1.0
www/changning/subwayacufg/,,,1.0,1.0
www/changning/subwayau/,,,2.0,2.0
www/changning/subwaybd/,,,2.0,2.0
www/changning/subwayd/o/,,,1.0,1.0
www/changning/subwayl/,,,1.0,1.0
www/changning/ufghk/,,,1.0,1.0
www/changning/zx/,,,4.0,4.0
www/changning/zx/o/,,,1.0,1.0
www/changning/zxfg/,,,1.0,1.0
www/changning/zxl/,,,1.0,1.0
www/changning_beixinjing/,10.0,9.0,13.0,13.0
www/changning_beixinjing/o/,,,1.0,1.0
www/changning_beixinjingsq/,,,12.0,12.0
www/changning_beixinjingsq/afgmn/,,,1.0,1.0
www/changning_beixinjingsq/au/,,,1.0,1.0
www/changning_beixinjingsq/b/,,,1.0,1.0
www/changning_beixinjingsq/d/,,,1.0,1.0
www/changning_beixinjingsq/mn/,,,1.0,1.0
www/changning_beixinjingsq/subway/,,,1.0,1.0
www/changning_beixinjingsq/subway_/,,,1.0,1.0
www/changning_beixinjingsq/subway_a/,,,1.0,1.0
www/changning_changninghongqiao/,87.0,84.0,36.0,36.0
www/changning_changninghongqiao/d/,1.0,1.0,1.0,1.0
www/changning_changninghongqiao/o/,,,1.0,1.0
www/changning_changninghongqiao/subway/,,,1.0,1.0
www/changning_changningqita/,2.0,2.0,1.0,1.0
www/changning_chengjiaqiao/,2.0,2.0,,
www/changning_dongwuyuan/,7.0,7.0,1.0,1.0
www/changning_gubei/,17.0,17.0,5.0,5.0
www/changning_hongqiaohuochezhan/,22.0,20.0,13.0,13.0
www/changning_hongqiaohuochezhansq/,15.0,15.0,22.0,22.0
www/changning_hongqiaohuochezhansq/a/,,,1.0,1.0
www/changning_hongqiaohuochezhansq/l/,,,1.0,1.0
www/changning_hongqiaohuochezhansq/o/,,,4.0,4.0
www/changning_hqkfqgbsq/,4.0,4.0,13.0,13.0
www/changning_hqkfqgbsq/a/,,,2.0,2.0
www/changning_hqkfqgbsq/abl/,,,1.0,1.0
www/changning_hqkfqgbsq/afg/,,,1.0,1.0
www/changning_hqkfqgbsq/atfg/,,,1.0,1.0
www/changning_hqkfqgbsq/au/,,,5.0,5.0
www/changning_hqkfqgbsq/b/,,,2.0,2.0
www/changning_hqkfqgbsq/d/,,,1.0,1.0
www/changning_hqkfqgbsq/dfgi/,,,1.0,1.0
www/changning_hqkfqgbsq/l/,,,2.0,2.0
www/changning_hqkfqgbsq/o/,,,4.0,4.0
www/changning_hqkfqgbsq/subway/,,,1.0,1.0
www/changning_hqkfqgbsq/subway/o/,,,1.0,1.0
www/changning_hqkfqgbsq/subway_/o/,,,1.0,1.0
www/changning_hqkfqgbsq/subway_a/,,,1.0,1.0
www/changning_jiangsulu/,3.0,3.0,4.0,4.0
www/changning_jiangsulu/zx/,,,1.0,1.0
www/changning_jiangsuluditie/,2.0,2.0,,
www/changning_shanghaiyingcheng/,,,1.0,1.0
www/changning_tianshanlu/,14.0,13.0,10.0,10.0
www/changning_tianshanlusq/,1.0,1.0,8.0,8.0
www/changning_tianshanlusq/a/,,,1.0,1.0
www/changning_tianshanlusq/abtzx/,,,1.0,1.0
www/changning_tianshanlusq/au/,,,1.0,1.0
www/changning_tianshanlusq/d/,,,2.0,2.0
www/changning_tianshanlusq/subwaya/,,,1.0,1.0
www/changning_tianshanlusq/subwayab/,,,1.0,1.0
www/changning_xianxiaxincun/,3.0,3.0,,
www/changning_xinhualu/,20.0,19.0,8.0,6.0
www/changning_yananxilusq/,2.0,2.0,5.0,5.0
www/changning_yananxilusq/subway/,,,1.0,1.0
www/changning_zhenninglu/,15.0,15.0,,
www/changning_zhongshangongyuan/,51.0,51.0,22.0,22.0
www/changning_zhongshangongyuan/dzx/,,,1.0,1.0
www/changning_zhongshangongyuan/o/,,,3.0,3.0
www/changning_zhongshangongyuansq/,23.0,23.0,32.0,31.0
www/changning_zhongshangongyuansq/ai-/,,,1.0,1.0
www/changning_zhongshangongyuansq/au/,,,3.0,3.0
www/changning_zhongshangongyuansq/b/o/,,,2.0,2.0
www/changning_zhongshangongyuansq/bd/,,,1.0,1.0
www/changning_zhongshangongyuansq/d/,,,2.0,2.0
www/changning_zhongshangongyuansq/fg/,,,1.0,1.0
www/changning_zhongshangongyuansq/l/,,,3.0,3.0
www/changning_zhongshangongyuansq/o/,,,9.0,9.0
www/changning_zhongshangongyuansq/subway/,,,2.0,2.0
www/changning_zhongshangongyuansq/subway_/,,,1.0,1.0
www/changning_zhongshangongyuansq/subway_au/,,,1.0,1.0
www/changning_zhongshangongyuansq/subway_b/,,,1.0,1.0
www/changning_zhongshangongyuansq/subwaybd/,,,1.0,1.0
www/changning_zhongshangongyuansq/t/,,,1.0,1.0
www/changning_zhongshangongyuansq/zx/,,,1.0,1.0
www/changning_zhoujiaqiao/,,,1.0,1.0
www/changning_zhoujiaqiao/d/,,,1.0,1.0
www/changping/,62.0,58.0,167.0,159.0
www/changping/a/,3.0,3.0,11.0,11.0
www/changping/a/o/,,,1.0,1.0
www/changping/ab/,,,1.0,1.0
www/changping/ab/o/,,,1.0,1.0
www/changping/abt/o/,,,1.0,1.0
www/changping/abtl/,,,1.0,1.0
www/changping/ad/,,,1.0,1.0
www/changping/au/,,,4.0,4.0
www/changping/aul/,,,1.0,1.0
www/changping/aut/,,,1.0,1.0
www/changping/azx/,,,3.0,3.0
www/changping/b/,,,7.0,7.0
www/changping/b/o/,,,1.0,1.0
www/changping/bd/,,,7.0,5.0
www/changping/bdt/,,,1.0,1.0
www/changping/bdtl/,,,1.0,1.0
www/changping/bdtzx/,,,1.0,1.0
www/changping/bl/o/,,,1.0,1.0
www/changping/bp/,,,1.0,1.0
www/changping/d/,1.0,1.0,7.0,7.0
www/changping/d/o/,,,1.0,1.0
www/changping/dt/,,,2.0,2.0
www/changping/l/,,,1.0,1.0
www/changping/o/,2.0,2.0,28.0,22.0
www/changping/subway/,,,2.0,2.0
www/changping/subway_/,1.0,1.0,3.0,3.0
www/changping/subway_abd/,,,1.0,1.0
www/changping/subway_at/,,,1.0,1.0
www/changping/subway_cuzx/,1.0,1.0,,
www/changping/subwayabd/,,,1.0,1.0
www/changping/subwayb/,,,1.0,1.0
www/changping/subwaybd/,,,1.0,1.0
www/changping/zx/,,,1.0,1.0
www/changping_baishan/,2.0,2.0,1.0,1.0
www/changping_beiqijia/,20.0,19.0,7.0,7.0
www/changping_beiqijia/b/,,,1.0,1.0
www/changping_beiqijia/subway/,,,1.0,1.0
www/changping_changling/,,,4.0,4.0
www/changping_changpingqita/,1.0,1.0,,
www/changping_changpingxiancheng/,7.0,7.0,1.0,1.0
www/changping_changpingxianchengsq/,12.0,12.0,8.0,8.0
www/changping_changpingxianchengsq/a/,,,1.0,1.0
www/changping_changpingxianchengsq/subway/,,,2.0,2.0
www/changping_changpingxianchengsq/subwayacu/,,,1.0,1.0
www/changping_chengbei/,,,2.0,2.0
www/changping_chengnan/,1.0,1.0,4.0,4.0
www/changping_chengxi/,1.0,1.0,3.0,3.0
www/changping_dongxiaokou/,,,1.0,1.0
www/changping_dongxiaokou/subway/,,,1.0,1.0
www/changping_huilongguan/,11.0,10.0,13.0,13.0
www/changping_huilongguansq/,12.0,12.0,19.0,18.0
www/changping_huilongguansq/ac/,,,1.0,1.0
www/changping_huilongguansq/at/,1.0,1.0,,
www/changping_huilongguansq/bd/,,,1.0,1.0
www/changping_huilongguansq/bdt/,,,1.0,1.0
www/changping_huilongguansq/subway_/,,,1.0,1.0
www/changping_huilongguansq/subwaybzx/,,,1.0,1.0
www/changping_huoying/,4.0,4.0,2.0,2.0
www/changping_huoyingsq/,,,5.0,5.0
www/changping_huoyingsq/a/,,,1.0,1.0
www/changping_huoyingsq/subway/,,,1.0,1.0
www/changping_lishuiqiao/,4.0,3.0,5.0,5.0
www/changping_lishuiqiaosq/,7.0,7.0,8.0,8.0
www/changping_lishuiqiaosq/a/,,,1.0,1.0
www/changping_lishuiqiaosq/au/,,,1.0,1.0
www/changping_lishuiqiaosq/d/,1.0,1.0,,
www/changping_lishuiqiaosq/subway/,,,1.0,1.0
www/changping_longze/,1.0,1.0,3.0,3.0
www/changping_longze/abc/,1.0,1.0,,
www/changping_longze/l/,,,1.0,1.0
www/changping_machikou/,,,2.0,2.0
www/changping_nankou/,,,2.0,2.0
www/changping_nanshao/,1.0,1.0,1.0,1.0
www/changping_nanshao/a/,1.0,1.0,,
www/changping_nanshaozhen/,1.0,1.0,3.0,3.0
www/changping_shahe/,9.0,9.0,5.0,5.0
www/changping_shahe/zx/,,,1.0,1.0
www/changping_shahesq/,13.0,12.0,11.0,11.0
www/changping_shahesq/a/,,,1.0,1.0
www/changping_shahesq/b/,,,2.0,2.0
www/changping_shahesq/bd/,1.0,1.0,,
www/changping_shahesq/bt/,,,1.0,1.0
www/changping_shahesq/subwaybd/,,,1.0,1.0
www/changping_shahezhen/,1.0,1.0,6.0,6.0
www/changping_shisanling/,1.0,1.0,6.0,6.0
www/changping_tiantongyuan/,15.0,15.0,7.0,7.0
www/changping_tiantongyuan/au/,,,2.0,1.0
www/changping_xiaotangshan/,7.0,7.0,4.0,4.0
www/changping_xingshou/,2.0,2.0,2.0,2.0
